Genes	Protein.Group	Protein.Names	DOUBLEdep_1	DOUBLEdep_2	DOUBLEdep_3	SONdep_1	SONdep_2	SONdep_3	SRRM2-dep_1	SRRM2dep_2	SRRM2dep_3	control_1	control_2	control_3	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all
KCTD10	Q9H3F6	BACD3_HUMAN	11281.2	13345.5	12320.5	16574.4	14820.9	12899.4	12343.9	12057.4	10084.2	13149.3	13781.5	19501.3	6240.9908984657	7935.66436793748	NA	8659.28744792852	NA	8232.95531689941	NA	7410.13062693784	6103.45412205863	6604.30165969717	NA	NA	3
KCTD14	Q9BQ13;Q9BQ13-2	KCD14_HUMAN	5788.35	8502.13	7364.66	5075.85	10394.7	6271.49	10960.3	7668.78	7269.73	6790.17	13716.8	7464.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KCTD19	Q17RG1	KCD19_HUMAN	27546.5	30464.6	31625.5	20032	25834.3	24855.5	29094.8	18042.6	32907.6	NA	36275.2	29302.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KCTD3	Q9Y597;Q9Y597-2	KCTD3_HUMAN	12549.9	14722.8	11659	11773.5	8143.76	13555.3	10992.3	15043	15554.9	11413.5	12481.9	12803.4	8155.75113763705	10300.7527534149	NA	8854.51494247555	NA	7481.0903327579	NA	10901.4385613225	10281.9946955936	NA	NA	NA	3
KCTD5	Q9NXV2	KCTD5_HUMAN	15199.2	13191.5	12190.1	13661.3	14227.8	17367	9953.14	17035.8	17135.4	12935.7	10153.8	13208.2	10350.5850416094	10896.3637085739	10519.3153457328	11880.5442024578	10782.4230512864	8509.9730207749	8700.59096517878	14298.0051102804	11875.4696990461	10139.3431198328	6911.42810147915	9613.87138639595	4
KCTD9	Q7L273	KCTD9_HUMAN	7577.21	5834.14	5931.1	7095.63	8460.35	5245.97	9830.66	7214.24	5870.38	10096.6	10698.3	10044.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KDF1	Q8NAX2	KDF1_HUMAN	4456.53	7678.86	6829.94	8084.79	8995.65	4596.27	9746.52	6106.16	4533.23	8788.36	11110.7	8364.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KDM1A	O60341	KDM1A_HUMAN	28748.5	25484.4	29772	27625.2	27851.2	24843.9	27937.1	31091.9	27779.8	26763	27793.3	24306	14826.0168249956	14944.615960666	16169.5513930463	16024.8281823763	16214.5309060892	15845.5555122723	15527.658424153	23828.7970948408	19289.6107671631	15119.2506064996	16300.33563607	14725.9024524605	11
KDM1B	Q8NB78	KDM1B_HUMAN	15049.1	13857.5	12561.6	15105.4	12927.7	15358.6	13859.7	10804.9	14307.6	15063.8	13421.5	14607.2	11244.8497362157	9643.04798360333	9020.79173283098	9341.05040999523	9289.2531317582	10031.2862635351	10072.8546950249	8765.58308606321	9761.5207933339	10377.031754984	10007.6239746959	11082.7084762241	5
KDM2A	Q9Y2K7	KDM2A_HUMAN	42732.1	37507.9	35998.2	36060.7	46007.1	36297.3	35691.3	33414.3	28498.2	36957.5	32808.7	35487.1	20150.3534257223	17762.2734017877	31021.1884585572	24823.9304924456	29309.2848926145	25173.1252424615	15173.337243351	16144.2571258554	14425.5570279905	19996.2283053754	17017.1497040825	17221.0997390611	11
KDM2B	Q8NHM5;Q8NHM5-3;Q8NHM5-4	KDM2B_HUMAN	3310.99	3671.27	1959.61	2741.09	3569.95	3062.78	4183.14	4938.55	4063.18	4125.1	1898.98	3233.56	NA	2100.71664064659	NA	NA	2754.799786977	2916.47901102099	NA	NA	NA	2937.3391145739	NA	NA	3
KDM3A	Q9Y4C1	KDM3A_HUMAN	5634.63	5296.59	4728.88	4719.2	5116.07	4701.26	5313.34	4997.39	6048.9	6399.32	6542.98	6317.12	5258.20074392173	4151.60394988033	4644.8969457071	4198.73878756235	5059.01457385241	3710.50247761631	5063.60679942511	4607.51495203531	5264.55480208379	6344.62101547277	6363.06105322927	6348.37338174068	5
KDM3B	Q7LBC6	KDM3B_HUMAN	35900.1	37342.8	36492.5	37145.8	36193.2	38490.8	27096.3	29684.8	28443.1	30234.1	33845.6	31939.8	25643.3403310535	26968.0364099453	29304.7241061034	29963.7200141603	25269.8066595201	30070.1955121611	14783.1387941481	25977.7842217699	27267.5515845982	26376.7902157925	30444.6418285414	31254.746098249	23
KDM4A	O75164	KDM4A_HUMAN	9808.9	6881.63	7324.88	13445.1	13133.7	6765.76	20476.5	8925.04	8562.65	17766.1	16385	25704.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KDM5A	P29375;P29375-2	KDM5A_HUMAN	3930.79	4151.77	4156.36	5455.08	4891.56	7440.1	1965.23	5500.7	7102.86	3422.33	2622.1	4403.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KDSR	Q06136	KDSR_HUMAN	6956.88	10234.5	10286.8	8274.8	5560.04	9273.09	5964.59	9974.33	7850.18	4756.56	3581.24	5363.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KEAP1	Q14145	KEAP1_HUMAN	16069.9	18832.1	12276.4	14137	13247.2	11459.6	13547.1	16899.6	17690.6	12711.1	12255.6	20313.5	13538.898647234	15753.9113822431	11983.7510229631	12226.4113559123	13099.2383890573	13066.0194357556	11092.0766014175	17790.0733204067	13689.4665493949	11285.6020291048	9288.56162979122	15670.3220186365	5
KHDC4	Q7Z7F0	KHDC4_HUMAN	7536.3	6534.7	7895.49	7311.32	6681.89	6573.58	5691.7	4377.42	5847.5	6306.1	6667.13	7762.94	7179.42705348331	6489.18647432825	7723.11025357248	7133.77388235314	6440.20138202031	6071.76108243121	4987.85766525563	4980.79818114864	5424.9061977536	5615.38619223488	6079.04781497105	6678.45571592235	4
KHDRBS1	Q07666;Q07666-2	KHDR1_HUMAN	722512	710535	738964	750548	908825	807124	772925	594489	587329	799652	966598	946200	187398.831145179	261630.770659165	232073.697560214	271971.1606726	234446.392632252	253857.578014917	157246.056253382	312947.653407967	232488.662451403	240997.719867969	185847.274547821	200830.206688468	12
KHDRBS3	O75525;O75525-2	KHDR3_HUMAN	38527.5	39003.7	41240.2	24351.6	35437.6	23298.8	32127.2	32276.3	32689.6	33191.8	31333.3	32369.8	19611.4948562266	16235.1683043596	23171.8690253521	14131.9366309569	23750.8396108548	17096.6931690426	21640.3114909705	17490.5519163351	17066.6432496454	18572.0509328784	18664.5380646229	19786.6056582353	5
KHNYN	O15037	KHNYN_HUMAN	3713.94	3851.41	3101.21	3795.18	NA	4059.07	6231.27	2688.13	6302.99	5931.53	4186.7	6708.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KHSRP	Q92945	FUBP2_HUMAN	271112	286393	285504	322461	336664	319118	346865	335218	344400	373337	373498	341298	196575.99798038	184430.681103028	221854.436318238	255944.732154306	300068.37214499	258708.402223743	283950.782392889	268436.51437089	279239.644199427	334339.557913466	341806.967005243	314458.859812994	25
KIAA0586	Q9BVV6;Q9BVV6-2;Q9BVV6-3;Q9BVV6-4	TALD3_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	3157.18	NA	NA	3955.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIAA0754	O94854	K0754_HUMAN	2404.43	4361.19	2361.81	3367.78	2230.55	3657.51	2518.84	3028.81	2508.56	2964.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIAA0930	Q6ICG6;Q6ICG6-2;Q6ICG6-3	K0930_HUMAN	4571.19	6169.19	7986.75	5557.17	6396.95	5407.39	6003.06	4720.31	4874	4729.55	6106.79	5399.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KIAA1143	Q96AT1	K1143_HUMAN	4434.76	8557.15	7644.92	8194.34	7684.03	8603.6	4541.39	9631.08	9556.44	6535.87	4031.82	6192.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KIAA1191	Q96A73;Q96A73-2	P33MX_HUMAN	12553.4	8599.88	8819.24	11527.6	9676.25	13152.4	7832.62	9049.17	14152.8	NA	7514.69	3008.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIAA1217	Q5T5P2;Q5T5P2-3	SKT_HUMAN	103797	141762	132809	122728	120901	128271	99539.9	135206	134911	120746	111876	105919	18068.6912843909	24804.0218887164	23736.0846199345	NA	NA	15411.6795114107	NA	18725.9463838363	3323.4369658502	NA	22359.2062662993	20827.9718501873	4
KIAA1522	Q9P206;Q9P206-2;Q9P206-3	K1522_HUMAN	5460.81	5950.46	6142.74	7619.85	10012.6	5098.43	10548.9	7738.15	8373.17	7925.71	6649.65	9850.89	3896.0431088277	4093.17529909491	4159.66186421396	10742.0822545273	5916.06707583056	3732.15431881661	5709.66796906701	5334.21347674759	5851.80417912907	5204.42204830547	5664.80387688807	5702.84872428664	5
KIAA1586	Q9HCI6;Q9HCI6-2	K1586_HUMAN	NA	NA	NA	2851.67	3468.86	NA	4549.33	2608.51	2475.37	3408.63	4258.47	4871.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIAA1671	Q9BY89	K1671_HUMAN	15320.6	16322.5	15796.8	17011.1	17078.1	13130	13048.7	14084.2	14534.2	15416.4	15646.9	15771.9	14371.9936059141	15636.3974862684	15395.6511251002	18049.5096977779	17380.5979659439	12741.7675233873	11162.644911173	16899.9670566642	13497.8998050984	12313.2808635107	13478.2671561747	17221.894438596	14
KIAA1958	Q8N8K9-2	K1958_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	901.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIDINS220	Q9ULH0;Q9ULH0-2;Q9ULH0-4	KDIS_HUMAN	6265.36	5748.93	7333.57	7681.86	5505.89	7770.53	5177.44	6875.95	8513.79	6285.51	5529.99	6061.16	4902.44400896959	5014.24643249411	6735.02974751121	7076.25673202373	4585.53931662302	8041.11671283507	4093.21247344558	7091.97213865409	8913.6495818505	4986.70317208949	4674.93113581693	5722.63935623711	7
KIF11	P52732	KIF11_HUMAN	112983	110360	111247	112060	109499	104559	75532.8	74453.8	66817.9	73366.4	62889.5	73033.2	82137.5995325512	79570.0058320846	82620.8070344115	82494.0616265093	69349.3421136398	74971.799221144	53008.2520545463	58307.6977546016	51114.529203245	44534.4453279191	51266.1064729476	45584.5252326722	27
KIF13A	Q9H1H9;Q9H1H9-2;Q9H1H9-3;Q9H1H9-4	KI13A_HUMAN	6834.92	5277.09	5913.38	5821.14	6429.72	6155.21	5385.89	4812.91	5278.19	4917.31	3984.44	6383.96	NA	4735.86577000029	4730.24688683948	4159.67176474295	3128.84970825834	4576.25597106309	NA	3228.506640125	4265.92897686406	3253.02029807222	NA	NA	4
KIF13B	Q9NQT8	KI13B_HUMAN	NA	NA	5170.66	NA	6252.49	5153.26	NA	NA	3376.68	5608.35	3993.13	6083.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KIF14	Q15058	KIF14_HUMAN	20003.8	23054.6	19048.4	20264.1	21404	21757.2	13966.7	18199.6	19096.1	18152.6	19194.1	16818	16004.9395490459	21448.0043705826	17426.0819505178	19660.5930481246	16812.5744342664	20192.2897243821	8509.06146371325	14432.4761182692	15245.6923593488	13826.9890364226	11399.3082096299	9846.71924015222	13
KIF15	Q9NS87	KIF15_HUMAN	26894.9	25375.9	24977.2	27656.1	29180.5	27967.5	28402.3	25076.1	24923	29638.6	29395.5	30355.3	21850.0258157997	23087.7695618717	22451.8169404587	25159.2966652474	24978.2001816796	27998.8715668854	20065.8506900334	23248.955435036	19367.9001636867	24644.4585424335	21103.1111443949	23411.5645210771	25
KIF18A	Q8NI77	KI18A_HUMAN	9682.91	8746.49	8464.36	8258.96	8967.22	7510.21	7258.23	5833.43	6558.77	6916.65	6585.7	7398.8	9232.33653227764	8587.07286679154	8113.80223469276	7347.35429361789	8339.55051785823	7310.76111799824	6358.63425523879	5474.20055923726	6472.5008150043	6918.13645777721	6109.93253240823	5905.05908576414	5
KIF18B	Q86Y91;Q86Y91-6	KI18B_HUMAN	2915.27	6263.17	4591.07	8229.67	6586.26	6381.5	9947.26	14679.8	13027.1	14227.1	17831.8	16457.3	NA	NA	NA	NA	3568.37278955696	NA	6522.72688487557	9442.95335327102	8495.33529328075	8841.75780149415	8963.25015797852	7254.79261577788	3
KIF1B	O60333;O60333-2;O60333-4	KIF1B_HUMAN	17971.9	18747.2	19309.6	19489.9	15852.8	19951.9	15455.6	21991.8	20894.9	18463.3	18828.7	21292.6	9561.86816678191	11448.5007826186	14283.248263555	12085.8118353473	12186.0264184356	14862.9349938975	11086.6310160598	15470.9917460351	14191.7806436379	11883.7357275595	13230.493486742	14140.3015614754	8
KIF1C	O43896	KIF1C_HUMAN	23051	18908.8	17958.4	22163.7	22119.9	20193.2	27080.6	18069.8	19144.6	19991.8	21630.2	26118.1	14916.6051033206	13099.6412588933	7061.51716245135	12960.2252129085	14165.1920283762	10194.5005616489	17457.178535656	15332.7151364777	13487.9015773609	14191.601391745	13239.6565719997	20853.7886333104	4
KIF20A	O95235;O95235-2	KI20A_HUMAN	27513.5	27194.2	27664.2	24616.1	25452.9	24335	25277.6	20604.3	20666.6	21850.6	21188.3	21333.7	24699.5863961932	25126.6104989943	26112.1444248223	23250.4316319355	23338.4446997945	23820.0097059343	20230.1943639225	25874.0555411203	20760.4719545924	20264.3121985744	17757.8628712278	22089.2072590059	26
KIF20B	Q96Q89;Q96Q89-2;Q96Q89-3	KI20B_HUMAN	18057.9	18824.8	19172	21269.7	22391.8	20227.8	16865	13999.9	15304.7	23038	17639.1	18353.9	13395.4748026545	15610.8577053597	14950.9315141645	18321.3912753587	18929.9695318102	18136.8819063986	12534.0758475818	13025.6569148562	11849.001714831	20800.6732028394	16880.6119713397	14430.8752100745	8
KIF21A	Q7Z4S6;Q7Z4S6-2;Q7Z4S6-4;Q7Z4S6-5	KI21A_HUMAN	23851.4	25483.4	25074.8	23064.2	24761.3	20069.8	22425.2	20936.5	23830.6	23579.4	23174.3	23593	20170.7180314382	24472.9134562485	25203.7081851934	19807.9722930062	22303.6817946796	16917.9475996835	17209.1042539967	18423.7102696095	20004.6702750583	23657.8837832904	19738.5187356132	20125.1085637417	18
KIF22	Q14807	KIF22_HUMAN	23564.1	21096.2	26048.5	33900.5	37375.5	28277.4	33922.1	31904.1	29369.8	39870.2	37746.7	37426.7	16194.7315653184	17140.2255417458	21837.2663501589	28942.3943986871	27392.6364882457	17241.7685980112	23724.3182766849	26379.8158185731	24828.3350267257	30192.8448128457	28230.928049409	28018.2177506955	17
KIF23	Q02241;Q02241-2	KIF23_HUMAN	74274	79863.4	79222.4	80295.7	72068.9	81746.9	62357.9	62200	63406.5	57904.8	52375.2	64830.6	63144.8435577046	84735.7955134481	69806.1418057198	82831.6438546832	61124.6191669053	72012.7316678553	43997.9793293256	70260.8443121157	62466.5079719757	41837.3926642904	38523.0164110143	48353.4416802661	23
KIF27	Q86VH2;Q86VH2-2;Q86VH2-3	KIF27_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69732.5	58049.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIF2A	O00139-2	KIF2A_HUMAN	31304.9	28484.8	29342.3	31503.7	32784.7	28297	21820.2	29674.4	28880.9	24398.1	30112.3	29492	21192.920864837	24403.5049494568	24015.4921950425	25802.1989917912	27656.359100279	28806.9834634392	14145.9151986624	29393.1523738404	24455.4540220458	17063.4511445675	18050.4156101274	21186.5819142647	12
KIF2C	Q99661	KIF2C_HUMAN	51409.2	56437.1	54594.5	56331.5	55066.2	62628.4	56630.9	67258.2	61799.8	59731.5	49159.2	57515.2	35744.3188251321	42233.6273374191	42433.3993160467	42808.1413491488	43616.4871092494	38765.8138246764	40084.2480690793	53372.9363064687	37522.9550910223	43548.8692079083	38473.2870977531	40584.5474888329	27
KIF3A	Q9Y496	KIF3A_HUMAN	29147.7	27557	28086.5	26787	26848.6	24095.5	26450.9	27764.5	25286.2	24909.8	28108	28447.7	25049.3715171185	22437.0266091925	25022.5268513621	20377.4048456114	21397.6301202861	15483.1670328773	21773.8149036409	23404.8724092938	19313.6407029014	17588.8805505098	23067.3152750999	20884.394435808	11
KIF3B	O15066	KIF3B_HUMAN	15521.7	18727.6	17549.6	16168.7	16444.8	14402.1	16208.6	17862.4	17505.7	15957.9	16254.3	14727.4	13961.7355309832	15058.8067214766	20462.8484941871	16755.4307268682	18224.0802578235	14186.5265546377	14491.8058446299	16836.1090266854	14673.1034521961	13552.3997359794	15557.9904011349	13343.8169844865	13
KIF4A	O95239	KIF4A_HUMAN	220453	221123	219838	227765	200695	244149	184090	184394	218478	205283	196682	194474	69498.4804527263	100231.982475231	101490.514677853	105744.873551422	68540.0186183122	104939.722823655	44771.9701086948	83247.3982934995	106921.844355549	79834.0053275036	48168.6892841461	53510.7474794836	19
KIF5A	Q12840	KIF5A_HUMAN	NA	NA	NA	NA	NA	NA	6591.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KIF5B	P33176	KINH_HUMAN	240889	247837	227994	246771	247823	228805	192533	236355	242261	246286	217754	192948	166494.676525544	156751.395412273	159426.052404405	172033.946343416	209933.878790355	163084.95330678	142319.204609562	157420.427265711	206036.957911999	182560.638788222	131634.923938073	159816.50315634	36
KIFAP3	Q92845;Q92845-2;Q92845-3	KIFA3_HUMAN	11803.7	10519.2	12759	11559.5	13243.7	10429.7	11845	9138.24	10524.5	11462.9	13539.7	13190.4	8883.37244543091	7255.46015357225	10039.4063624038	8335.76303642545	9280.88560762277	8855.14184772097	8410.97802451996	7080.59457466786	9201.65543764432	9316.34458720354	9517.96887976226	9889.69652123105	4
KIFBP	Q96EK5	KBP_HUMAN	97573.8	107201	98012	92151	98353.7	99608.9	88545.1	102123	106670	95569.8	98135.6	76973.6	55692.8989428601	64842.8973210469	55562.1168890875	51467.9736531679	36759.1647176424	51919.2428115479	50528.8203810299	65454.5117802495	58535.6034830365	57691.6478088514	49040.0231191893	37071.1880792751	16
KIFC1	Q9BW19	KIFC1_HUMAN	39494.8	37894.7	31471.2	42730.9	50677.3	41706.2	59460.3	55341.9	64876.5	65349.4	86738.3	72020.7	19842.0829679709	26240.2246866648	19683.6885502811	23463.2048068211	21162.1925896256	27501.4042955758	30124.888050995	34370.3973200054	30063.6041278262	41912.2664672831	33302.016150002	36742.3563285037	6
KIN	O60870;O60870-2	KIN17_HUMAN	12519.7	15959.6	14247.8	15187.3	14966.5	12140.2	8568.37	19557.3	13911.6	12365.8	8467.32	15237.9	9437.10627922753	11102.6187977429	10577.2927422341	10820.2077059317	10918.1473506169	NA	6491.5873549234	16148.3038214617	10867.8808028537	7054.6805461313	7158.60044030411	11484.0159973325	3
KIRREL1	Q96J84	KIRR1_HUMAN	7179.4	9384.59	9584.47	8171.69	6029.83	9810.76	5948.12	10469.6	NA	7327.57	6166.06	4896.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KITLG	P21583;P21583-2;P21583-3	SCF_HUMAN	10448.4	9464.51	9268.13	17710	10804.4	10902.6	13329.2	11651.7	11835.6	17538.4	16373.9	14676.3	5951.25686459999	6416.38289026361	5139.7306028849	10830.1109647499	7645.99091107393	5806.39911537415	NA	9410.58163847421	8309.67718519874	9905.01684021169	7282.20680335584	9931.32405281197	3
KLC1	Q07866-6	KLC1_HUMAN	136890	135147	132530	135935	141133	122763	154102	128405	129727	143420	138126	141679	97396.6443516759	99574.5124889122	103715.719475552	98149.1973995163	113795.52868525	76805.2181870811	97175.2024626531	99164.2582789176	94706.1416319164	110624.363654556	92823.7184077396	106538.535595628	15
KLC2	Q9H0B6	KLC2_HUMAN	24511.4	22213	22966.9	22968.1	22191.8	22744.1	21883.6	28970.5	29284.2	35697.3	27978.7	31982.1	23675.6686671002	16402.7602273734	23068.3319577741	20737.5310835272	21018.6272299307	20808.4960975225	21161.701659711	29068.2974727938	28407.7429064142	30729.5516362979	31396.5318263118	32706.7408476093	16
KLC3	Q6P597;Q6P597-2;Q6P597-3	KLC3_HUMAN	6873.28	4148.04	5735.22	5907.81	6517.18	6094.46	8839.04	5549.33	6403.32	5163.13	6445.7	7281.92	6152.14834440153	5183.56999896394	5069.3659864172	6887.36049085869	1995.39220454213	7817.02855078854	3277.42475568867	7231.07209685072	6487.44205021932	3748.90706336089	3197.0959162282	4076.358158868	4
KLC4	Q9NSK0;Q9NSK0-3	KLC4_HUMAN	11035	11289.6	10609.2	13537.2	9955.71	NA	NA	NA	NA	NA	5229.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KLF16	Q9BXK1	KLF16_HUMAN	13833.2	18059.6	13965.4	18101.8	17034.5	13721.2	9261.17	14007.3	14408.7	12639.6	12802.5	9776.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KLF5	Q13887;Q13887-4	KLF5_HUMAN	6306.65	6315.63	6165.1	4783.82	5074.5	4809.39	3941.37	5302.08	5665.37	4797.49	4399.83	4089.9	4963.49085943298	5099.84815087473	5630.11225107586	4055.58725506729	4304.30873586482	4785.58040669498	2953.44402815147	4986.52354597091	4917.76136036196	4046.46771301829	3719.53774638417	3239.19563449618	3
KLHDC4	Q8TBB5;Q8TBB5-3	KLDC4_HUMAN	32429	32541.9	35877.8	33258.5	34876.2	27598.2	26582.6	28921.6	21884.1	29210.1	25537.9	24894.2	20838.6653385855	20773.9046463443	20602.5834440138	22571.4158231703	21478.1649688007	25636.8329817616	14117.9490385197	17874.9026682783	13378.6714306177	13230.4070015738	13498.0923043229	14133.7212715601	7
KLHL11	Q9NVR0	KLH11_HUMAN	9386.52	7171.88	6205.37	8233.78	6322.57	7057.5	5478.47	7481.43	9920.31	8309.75	5157.72	3941.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KLHL12	Q53G59;Q53G59-2	KLH12_HUMAN	7377.01	7311.98	6648.77	5690.57	7676.13	4721.94	8180.14	6428.29	5283.74	5384.41	7837.64	6185.8	5411.0648854638	5180.79119507064	4871.64243069598	4828.33492492887	4787.07456379634	3575.08843414433	3182.18148352727	4510.91638518061	4255.88647787639	3159.50159160864	NA	NA	3
KLHL22	Q53GT1;Q53GT1-3	KLH22_HUMAN	3035.48	4358.49	NA	NA	2792.99	2282.7	4302.18	1550.81	2846.18	NA	3405.54	2026.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KLHL36	Q8N4N3;Q8N4N3-2	KLH36_HUMAN	6928.09	6686.21	6598.97	4074.76	6284.1	5004.56	8962.88	6159.52	5490.84	9456.37	8577.13	8170.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KLHL5	Q96PQ7;Q96PQ7-2;Q96PQ7-3;Q96PQ7-4;Q96PQ7-5;Q96PQ7-6	KLHL5_HUMAN	NA	NA	NA	NA	NA	NA	4055.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KLHL7	Q8IXQ5;Q8IXQ5-2;Q8IXQ5-5	KLHL7_HUMAN	5398.38	4848.8	5531.33	4391.19	5136.15	4752.41	6103.13	5236.25	3819.36	3775.73	5451.54	5152.2	3571.79355417333	NA	3958.75568145539	3339.20939290777	NA	3678.14637429903	3027.81825714231	NA	3507.54556564838	2944.19736727984	2840.0471846387	NA	3
KLK6	Q92876	KLK6_HUMAN	5878.05	NA	8655	5280.53	6085.05	6318.98	5707.94	NA	6650.68	3963.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KMT2A	Q03164;Q03164-2;Q03164-3	KMT2A_HUMAN	17572.9	17350.7	17842.5	19804.6	17862.5	19040.4	14878.4	15614.7	17291.8	16773.3	16101.4	18919.7	14714.7805493648	14128.2737989998	17146.5656417288	17571.2598853101	17155.3430881627	15746.9824891794	14686.0155530707	13305.4005174412	14560.340850879	16103.0654428536	14578.0134123932	15128.8082834423	17
KMT2B	Q9UMN6	KMT2B_HUMAN	NA	NA	39674.2	NA	NA	NA	69168.5	NA	69558.7	NA	78759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KMT2D	O14686;O14686-3	KMT2D_HUMAN	23208.3	37296.2	19408.1	25549.5	26788.6	19765.8	15183.8	36784.1	34087.3	18572.6	20594.8	29940.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KMT2E	Q8IZD2-8	KMT2E_HUMAN	NA	163002	152924	NA	NA	165898	125610	161739	175788	NA	157177	132321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KMT5A	Q9NQR1;Q9NQR1-2	KMT5A_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1975.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KNG1	P01042;P01042-2;P01042-3	KNG1_HUMAN	14785.1	10463.6	14335.4	20657.3	8317.47	NA	14979.9	14623	9775.52	13234.9	18695	16471.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
KNL1	Q8NG31;Q8NG31-2	KNL1_HUMAN	27552.8	30080.9	30058	31049.5	28375.2	32427.6	22456.4	28327.8	28323.3	25837.9	27373.6	24684.7	18416.3750945767	13982.0252400541	23446.0107829381	20466.5276713929	21940.3772091954	30447.5214441965	12140.0551237482	28997.0256905259	24862.852644838	13562.1476143873	13127.3462060747	13337.7364444412	25
KNOP1	Q1ED39	KNOP1_HUMAN	14720.7	13248.5	14533.9	13560.1	13500.2	13691.3	12730.1	13055.6	15157.1	12767.7	11451.5	11162.4	10408.7651572479	5468.1178850229	10163.2715824081	8040.03825128881	10543.771350699	10369.3121809347	NA	8975.56022760801	10138.0258069989	7130.43686904842	8405.4727567482	8290.75692869468	4
KNSTRN	Q9Y448	SKAP_HUMAN	4571.73	4863.9	4970.11	4079.86	5026.81	1258.77	8610.65	8794.6	7593.59	7103.38	6404.03	10275.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
KNTC1	P50748	KNTC1_HUMAN	8333.2	6587.08	8723.94	6262.83	9643.79	7791.89	9062.7	5914.53	6203.54	9233.21	9378.52	7357.59	6315.00646329927	6038.05487265813	7330.45317887256	6298.24030097336	5480.34227798181	8769.94378758903	5370.51192691954	7075.82925180867	7699.24233228445	4351.20003493702	4720.58710809623	5256.28889569417	5
KPNA1	P52294	IMA5_HUMAN	58015.7	62947	55303.4	57242.4	44232.1	59339.5	33781	74666	62971.8	49782.9	45839.3	45610.7	27330.5208401526	33299.6901291058	28158.2346936616	36214.4664940536	24832.7424548694	42395.0391101872	21644.2147946284	41046.5455127694	40175.6758112893	23165.0139202644	16304.1696079101	19408.9864314323	7
KPNA2	P52292	IMA1_HUMAN	344052	351666	332948	342024	319371	326300	221650	281788	274803	260708	199285	219136	208198.829387364	263460.256511945	209535.022584323	203407.358826218	160892.363534425	201545.684242116	66674.1975858537	178033.049691724	172076.286411674	135280.986644861	122803.767885456	129629.717774671	17
